construct,category,gloss,arabic,aramaic,assamese,bengali,dari,gujarati,hebrew,hindi,kannada,kashmiri,malayalam,marathi,nepali,odia,pali,pashto,persian,phoenician,prakrit,punjabi,sanskrit,shahmukhi,sindhi,syriac,tamil,telugu,urdu
RETURN,control,return from a routine,أرجع,החזר,ঘূৰাই,ফেরত,أرجع,પાછા,החזר,लौटाओ,ಹಿಂತಿರುಗಿಸು,أرجع,മടക്കുക,परत,फर्काऊ,ଫେରାଅ,पटिनिवत्त,أرجع,بازگرد,החזר,निअत्त,ਵਾਪਸ,प्रत्यागम,أرجع,أرجع,ܦܢܐ,திரும்பு,తిరిగి,واپس
GOTO,control,unconditional jump,,,,,,,,जाओ,,,,,,,,,,,,,,,,,,,
INT,type,integer,صحيح,שלם,পূৰ্ণসংখ্যা,পূর্ণসংখ্যা,صحيح,પૂર્ણાંક,שלם,पूर्णांक,ಪೂರ್ಣಾಂಕ,صحيح,പൂർണ്ണസംഖ്യ,पूर्णांक,पूर्णाङ्क,ପୂର୍ଣ୍ଣସଂଖ୍ୟା,पूर्णङ्क,صحيح,صحیح,שלם,पुण्णंक,ਪੂਰਨਅੰਕ,पूर्णाङ्क,صحيح,صحيح,שלם,முழு,పూర్ణాంకం,صحیح
FLOAT,type,single-precision real,عائم,צף,দশমিক,দশমিক,عائم,દશાંશ,צף,दशमलव,ದಶಮಾಂಶ,عائم,ദശാംശം,दशांश,दशमलव,ଦଶମିକ,भिन्न,عائم,اعشاری,צף,भिण्ण,ਦਸ਼ਮਲਵ,भिन्न,عائم,عائم,צף,தசம,దశాంశం,اعشاری
DOUBLE,type,double-precision real,مزدوج,כפול,দ্বিগুণ,দ্বিগুণ,مزدوج,દ્વિગુણ,כפול,द्विगुण,ದ್ವಿಗುಣ,مزدوج,ഇരട്ട,द्विगुण,द्विगुण,ଦ୍ୱିଗୁଣ,द्विगुण,مزدوج,دوگانه,כפול,दुगुण,ਦੁੱਗਣਾ,द्विगुण,مزدوج,مزدوج,כפול,இரட்டை,ద్విగుణ,دوہرا
CHAR,type,character,حرف,תו,আখৰ,অক্ষর,حرف,અક્ષર,תו,अक्षर,ಅಕ್ಷರ,حرف,അക്ഷരം,अक्षर,अक्षर,ଅକ୍ଷର,वण्ण,حرف,نویسه,תו,अक्खर,ਅੱਖਰ,वर्ण,حرف,حرف,תו,எழுத்து,అక్షరం,حرف
VOID,type,no value,دالة,ריק,শূন্য,কাজ,دالة,વિધેય,ריק,कृत्य,ಕಾರ್ಯ,دالة,ധർമ്മം,कार्य,शून्य,କାର୍ଯ୍ୟ,सुञ्ञ,دالة,تابع,ריק,किरिया,ਕਾਰਜ,क्रिया,دالة,دالة,ריק,செயல்,ప్రమేయం,تابع
BOOL,type,truth value,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONST,type,immutable binding,ثابت,קבוע,ধ্ৰুৱক,ধ্রুবক,ثابت,અચલ,קבוע,अचर,ಸ್ಥಿರಾಂಕ,ثابت,സ്ഥിരം,स्थिरांक,अचर,ଅଚଳ,ध्रुव,ثابت,ثابت,קבוע,धुव,ਅਚਲ,ध्रुव,ثابت,ثابت,קבוע,மாறிலி,స్థిరరాశి,ثابت
STATIC,type,static storage,ساكن,סטטי,স্থিৰ,স্থির,ساكن,સ્થિર,סטטי,स्थिर,ಸ್ಥಿರ,ساكن,സ്ഥിതം,स्थिर,स्थिर,ସ୍ଥିର,ठित,ساكن,ایستا,סטטי,ठिअ,ਸਥਿਰ,स्थिर,ساكن,ساكن,סטטי,நிலையான,స్థిర,ساکن
UNSIGNED,type,no sign bit,,,,,,,,अचिन्हित,,,,,,,,,,,,,,,,,,,
STRUCT,data,product type,بنية,מבנה,গঠন,কাঠামো,بنية,સંરચના,מבנה,संरचना,ರಚನೆ,بنية,ഘടന,संरचना,संरचना,ସଂରଚନା,सङ्घट,بنية,ساختار,מבנה,संघड,ਬਣਤਰ,संरचना,بنية,بنية,מבנה,கட்டமைப்பு,నిర్మాణం,ساخت
UNION,data,sum over one storage,,,,,,,,जोड़,,,,,,,,,,,,,,,,,,,
ENUM,data,enumerated type,,,,,,,,क्रमागत,,,,,,,,,,,,,,,,,,,
CLASS,oo,class,صنف,מחלקה,শ্ৰেণী,শ্রেণী,صنف,વર્ગ,מחלקה,वर्ग,ವರ್ಗ,صنف,വർഗ്ഗം,वर्ग,वर्ग,ଶ୍ରେଣୀ,वग्ग,صنف,رده,מחלקה,वग्ग,ਵਰਗ,वर्ग,صنف,صنف,מחלקה,வகுப்பு,తరగతి,جماعت
NEW,oo,allocate an object,جديد,חדש,নতুন,নতুন,جديد,નવું,חדש,नवीन,ಹೊಸ,جديد,പുതിയ,नवीन,नयाँ,ନୂତନ,नव,جديد,جدید,חדש,णव,ਨਵਾਂ,नूतन,جديد,جديد,חדש,புதிய,కొత్త,نیا
PUBLIC,oo,externally visible,عام,ציבורי,ৰাজহুৱা,সর্বজনীন,عام,જાહેર,ציבורי,सार्वजनिक,ಸಾರ್ವಜನಿಕ,عام,പൊതു,सार्वजनिक,सार्वजनिक,ସର୍ବସାଧାରଣ,साधारण,عام,عمومی,ציבורי,साहत्त,ਜਨਤਕ,सार्वजनिक,عام,عام,ציבורי,பொது,బహిరంగ,عوامی
PRIVATE,oo,not externally visible,خاص,פרטי,ব্যক্তিগত,ব্যক্তিগত,خاص,ખાનગી,פרטי,निजी,ಖಾಸಗಿ,خاص,സ്വകാര്യ,खाजगी,निजी,ବ୍ୟକ୍ତିଗତ,गुत्त,خاص,خصوصی,פרטי,गुत्त,ਨਿਜੀ,गुप्त,خاص,خاص,פרטי,தனிப்பட்ட,అంతరంగ,نجی
VIRTUAL,oo,dynamically dispatched,افتراضي,מדומה,আভাসী,আভাসী,افتراضي,આભાસી,מדומה,आभासी,ವಾಸ್ತವಿಕ,افتراضي,മായാ,आभासी,आभासी,ଆଭାସୀ,आभास,افتراضي,مجازی,מדומה,आभास,ਆਭਾਸੀ,आभास,افتراضي,افتراضي,מדומה,மெய்நிகர்,మాయా,مجازی
TEMPLATE,oo,parametric over types,,,,,,,,ढाँचा,,,,,,,,,,,,,,,,,,,
TRY,error,guarded region,,,,,,,,प्रयास,,,,,,,,,,,,,,,,,,,
CATCH,error,handle a failure,,,,,,,,पकड़ो,,,,,,,,,,,,,,,,,,,
THROW,error,raise a failure,,,,,,,,फेंको,,,,,,,,,,,,,,,,,,,
PRINT,io,write to standard output,اكتب,כתוב,লিখক,লেখো,اكتب,લખો,כתוב,लिखो,ಬರೆ,اكتب,എഴുതുക,लिहा,लेख,ଲେଖନ୍ତୁ,लिख,اكتب,بنویس,כתוב,लिह,ਲਿਖੋ,लिख,اكتب,اكتب,כתוב,எழுது,వ్రాయి,لکھو
READ,io,read from standard input,اقرأ,קרא,পঢ়ক,পড়ো,اقرأ,વાંચો,קרא,पढ़ो,ಓದು,اقرأ,വായിക്കുക,वाचा,पढ,ପଢନ୍ତୁ,पठ,اقرأ,بخوان,קרא,पढ,ਪੜ੍ਹੋ,पठ,اقرأ,اقرأ,קרא,படி,చదువు,پڑھو
INCLUDE,module,bring in another unit,,,,,,,,\#समावेश,,,,,,,,,,,,,,,,,,,
DEFINE,module,textual macro,,,,,,,,\#घोषणा,,,,,,,,,,,,,,,,,,,
MAIN,module,program entry point,,,,,,,,मुख्य,,,,,,,,,,,,,,,,,,,
FUNCTION,module,named routine,,,,,,,,,,,,,,,,,,,,,,,,,,,
